                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.1088,                 3.4699,                 4.1778,                0.00359,                0.84848,                0.14288,                0.03983,                 2.6829,                 3.7572,                 4.1266,                0.00056,                0.00056,                0.00056
                      2,                 3.0918,                 3.3611,                 3.9964,                0.00346,                0.81818,                0.04987,                0.01125,                 2.8838,                 3.9753,                 3.6135,              0.0011377,              0.0011377,              0.0011377
                      3,                 2.9448,                 3.2517,                 3.6781,                0.03829,                0.30303,                0.04214,                0.00925,                 3.0112,                 9.0098,                 3.8303,              0.0017132,              0.0017132,              0.0017132
                      4,                 2.8374,                 3.1854,                 3.4832,                0.00984,                0.78788,                0.03464,                0.01175,                 2.6884,                 3.6983,                 4.3153,              0.0019881,              0.0019881,              0.0019881
                      5,                   2.76,                 3.1254,                 3.3336,                0.01131,                0.42424,                0.01105,                0.00338,                 2.6869,                 6.6906,                 3.3367,              0.0019842,              0.0019842,              0.0019842
                      6,                 2.6006,                 3.0923,                 3.1723,                0.04764,                0.32136,                0.05946,                0.01207,                 2.6236,                 5.5127,                 3.3265,              0.0019802,              0.0019802,              0.0019802
                      7,                 2.5593,                 3.0848,                 3.1435,                 0.0576,                0.18182,                0.05015,                0.00952,                 3.0749,                 3.6309,                 3.7569,              0.0019762,              0.0019762,              0.0019762
                      8,                 2.5479,                 3.0108,                 3.1017,                0.14331,                0.12121,                0.08393,                0.02603,                 2.5463,                 7.5785,                 3.3532,              0.0019723,              0.0019723,              0.0019723
                      9,                 2.4478,                  2.963,                 3.0096,                0.10467,                0.57576,                0.14422,                0.03679,                 2.4309,                 3.6223,                 3.0986,              0.0019683,              0.0019683,              0.0019683
                     10,                 2.3911,                 2.8392,                 2.9436,                 0.1876,                0.33333,                 0.1339,                0.04163,                 2.3281,                 3.1759,                 2.9958,              0.0019644,              0.0019644,              0.0019644
                     11,                 2.3664,                 2.8274,                 2.8977,                0.18954,                0.30303,                0.25366,                0.06904,                 2.3345,                 2.8951,                 3.0304,              0.0019604,              0.0019604,              0.0019604
